tag,game_id,winner,white,black,half_turns,engine1_pieces,engine2_pieces,engine1_time,engine2_time,end_state
turbo5_timed_10000,1,1,1,2,89,10,3,436.10,436.24,8/6R1/R1k5/1N6/2P2p1p/1P2BP2/5KPP/8 b - - 1 45
turbo5_timed_10000,2,1,2,1,74,10,3,366.78,366.71,r1b2k2/p2n1p1K/2p5/p2pP3/7q/5P2/8/8 w - - 0 38
turbo5_timed_10000,3,1,1,2,109,8,1,535.29,535.54,6N1/8/6R1/8/8/6P1/PPQ5/1K3R1k b - - 4 55
turbo5_timed_10000,4,1,2,1,66,9,7,307.36,327.08,3r4/4p2p/p1k3P1/2p4p/4p3/1P2P3/P3KPR1/3q4 w - - 1 34
turbo5_timed_10000,5,1,1,2,75,9,4,356.76,366.69,8/6R1/p1kQ4/1p3N2/7p/1P6/P5PP/R5K1 b - - 1 38
turbo5_timed_10000,6,1,2,1,76,10,1,356.84,376.64,3rk1nr/p6p/5p2/5p2/8/1p6/8/q1K5 w - - 6 39
turbo5_timed_10000,7,2,1,2,124,4,8,604.63,614.54,7Q/8/4k1p1/p1b2p2/Pp6/1P6/5r2/4r1K1 w - - 0 63
turbo5_timed_10000,8,2,2,1,65,7,9,307.23,327.11,r6R/pq4k1/b3Q3/4B3/1p2p3/2P3P1/PP3P2/2K5 b - - 4 33
turbo5_timed_10000,9,1,1,2,85,9,7,416.48,416.35,4r3/1b6/3Qp3/p7/1pN1k2P/1P1B4/P2b2P1/1K5R b - - 4 43
turbo5_timed_10000,10,1,2,1,34,15,9,158.61,168.52,r3k1nr/pp3ppp/P1p5/3pp3/2bPP3/2b2P2/2P2P2/R1BK2q1 w kq - 0 18
turbo5_timed_10000,11,1,1,2,127,8,2,624.44,624.48,3Q4/1N4N1/1R6/7k/5P2/rB4KP/8/8 b - - 4 64
turbo5_timed_10000,12,2,2,1,161,1,3,792.98,802.73,3Q4/8/4k1K1/8/8/4Q3/8/8 b - - 6 81
turbo5_timed_10000,13,1,1,2,79,11,4,386.62,386.56,2n2BR1/5P1p/7k/7r/4P3/PP5R/2P3PP/6K1 b - - 8 40
turbo5_timed_10000,14,1,2,1,96,8,2,465.85,475.85,5k2/p2p1p1p/2p5/8/8/8/3r3R/4r2K w - - 3 49
turbo5_timed_10000,15,2,1,2,162,1,3,792.94,802.79,8/8/q6p/8/8/K1k5/8/8 w - - 20 82
turbo5_timed_10000,16,2,2,1,99,5,5,485.67,495.59,1r5k/p3NR2/n1p4R/8/7P/8/7K/8 b - - 0 50
turbo5_timed_10000,17,1,1,2,87,10,4,426.15,426.05,1R2Q3/p7/6Qk/N3P1p1/2p5/P5N1/5P2/4RK2 b - - 1 44
turbo5_timed_10000,18,1,2,1,78,10,9,376.61,386.56,2kr3r/4R1p1/3p1b2/p3P1Qp/5q1K/P1p3NP/1PP5/8 w - - 1 40
turbo5_timed_10000,19,1,1,2,87,10,3,426.16,426.13,8/8/5kRN/5N2/P1p2P2/2K4P/1PP1r3/6R1 b - - 4 44
turbo5_timed_10000,20,1,2,1,72,11,4,336.97,356.90,2k4r/4p3/2p3pp/p3pp2/P7/5PP1/3r4/2q4K w - - 0 37
