tag,game_id,winner,white,black,half_turns,engine1_pieces,engine2_pieces,engine1_time,engine2_time,end_state
turbo5,1,2,1,2,112,5,8,536.76,555.60,8/6pk/5n2/p3p3/4P2p/2n2P1P/6P1/Kq6 w - - 0 57
turbo5,2,2,2,1,67,8,13,317.38,337.07,rn2R3/5kr1/4Q3/p2p1p2/3P4/PB3N2/1qPB1PPP/R5K1 b - - 4 34
turbo5,3,1,1,2,69,9,4,337.33,337.03,Rk6/4Q2N/2B3p1/1p6/8/2b5/5PPP/3K3R b - - 1 35
turbo5,4,1,2,1,98,6,1,466.43,486.23,8/6k1/8/p1p2p2/8/8/r7/3K2r1 w - - 0 50
turbo5,5,1,1,2,67,12,2,317.50,327.24,1N4Qk/8/8/p7/2BP4/7P/PPP2PP1/2K4R b - - 1 34
turbo5,6,1,2,1,92,7,2,436.41,455.98,4r3/7p/2k3p1/1p6/5P2/8/5r2/2K4q w - - 0 47
turbo5,7,1,1,2,101,4,2,496.97,496.39,R4k2/1R6/6p1/8/8/8/5P1K/8 b - - 2 51
turbo5,8,1,2,1,76,7,2,377.07,376.77,3k4/2pr3p/5p2/8/7P/4r3/6q1/4K3 w - - 1 39
