tag,game_id,winner,white,black,half_turns,engine1_pieces,engine2_pieces,engine1_time,engine2_time,end_state
turbo1_6_8000,79,1,1,2,55,15,7,90.99,216.28,1r5k/3B1pRQ/5B2/p1p4p/7q/NP2P1NP/P1P2PP1/2K4R b - - 4 28
turbo1_6_8000,80,1,2,1,80,9,5,223.25,320.44,2r5/p4k1p/5p1p/P7/2b5/1n2P3/1B2qP2/4K3 w - - 2 41
turbo1_6_8000,81,1,1,2,99,11,1,106.41,392.57,2k5/1R2B3/3N4/3P4/8/P3P1PP/2P3P1/6K1 b - - 8 50
turbo1_6_8000,82,1,2,1,74,12,6,96.92,296.47,r5k1/p3n1p1/n2pp2p/P1p5/7P/R1P2b1K/6q1/2B5 w - - 2 38
turbo1_6_8000,83,1,1,2,63,13,7,67.54,248.34,2k4r/NpPn1P2/1P6/p2P1Qpp/3P4/1P6/P3N2P/R6K b - - 3 32
turbo1_6_8000,84,1,2,1,92,7,3,52.90,368.47,8/p6p/8/2k1N3/2P1p2p/1rK5/1r6/8 w - - 4 47
turbo1_6_8000,85,1,1,2,93,12,4,107.03,368.50,6k1/8/8/p1p2Q2/1pP1P3/NP6/PB1P1P1P/6RK b - - 1 47
turbo1_6_8000,86,1,2,1,82,8,2,46.62,328.41,2k5/p1p4p/3p4/2r5/P7/r7/K7/2q5 w - - 1 42
turbo1_6_8000,87,1,1,2,99,10,1,97.88,392.63,4R1k1/3R4/2P4P/5P2/1P3P2/3P3P/8/7K b - - 4 50
turbo1_6_8000,88,2,2,1,51,9,9,94.27,208.29,1r2k2r/p1R1R1pp/4N3/1p3p2/4nP2/1N6/4PPKP/8 b - - 2 26
turbo1_6_8000,89,1,1,2,63,11,6,116.20,248.37,1Rk5/3p4/2bB4/5r2/P3p3/3PP3/1bP2PPP/5RK1 b - - 8 32
turbo1_6_8000,90,2,2,1,59,10,11,56.38,240.36,r6r/4R1pp/k1Q2p1n/p1p2B1q/P7/5NP1/2P2P1P/1R4K1 b - - 0 30
turbo1_6_8000,91,1,1,2,67,11,5,70.06,264.38,k3R3/2R5/6p1/pp1N3p/7B/1P6/P1PP1P1P/7K b - - 2 348
