tag,game_id,winner,white,black,half_turns,engine1_pieces,engine2_pieces,engine1_time,engine2_time,end_state
turbo4_timed_10000,1,1,1,2,127,7,2,639.13,628.94,1k6/8/Q1pB4/4R3/7P/7P/PK6/8 b - - 1 64
turbo4_timed_10000,2,1,2,1,126,7,1,629.07,629.07,7r/pp6/2k1b3/4n3/4n2K/8/8/8 w - - 6 64
turbo4_timed_10000,3,2,1,2,56,12,12,279.59,279.53,5rk1/1b3pbp/3P2p1/2p5/1p2nQ2/2P1P3/q3BPPP/1rKR2NR w - - 0 29
turbo4_timed_10000,4,1,2,1,122,9,3,609.12,609.02,r7/1k1n4/pp4p1/P1p5/7P/2q2b2/8/3K4 w - - 3 62
turbo4_timed_10000,5,1,1,2,43,14,6,219.67,209.65,2r5/pppBQ3/8/2Pp4/5Nk1/1P2P3/P4PPP/RN2K2R b KQ - 2 22
turbo4_timed_10000,6,1,2,1,92,10,3,459.34,459.25,7r/5k2/p2R4/2np2pp/3b4/5P1K/3r2q1/8 w - - 2 47
turbo4_timed_10000,7,1,1,2,39,14,8,199.73,189.71,r5kQ/2P2p1p/p1p5/5bp1/8/1PB1P3/P2N1PPP/R3K1NR b - - 0 20
turbo4_timed_10000,8,1,2,1,92,11,2,459.40,459.27,6k1/p1p2pp1/1p1p4/5n2/5p2/5P2/5r2/K1r5 w - - 6 47
turbo4_timed_10000,9,1,1,2,81,10,8,409.36,399.39,5r2/2b2p2/n1p4R/3p4/Pr6/1P2PRkP/2PP2P1/7K b - - 14 41
turbo4_timed_10000,10,1,2,1,78,11,2,389.41,389.36,5rk1/p1pp1ppp/8/6PK/1r6/5q2/8/2n5 w - - 4 40
turbo4_timed_10000,11,2,1,2,72,8,8,359.50,359.44,2kr4/1ppR4/6r1/p7/8/PP3p1R/1B3P1P/5q1K w - - 0 37
turbo4_timed_10000,12,2,2,1,41,12,11,199.74,209.69,2kr1qnr/1Qpp1pp1/4p3/2Pn3p/8/P3BNPP/5PB1/1R4K1 b - - 2 21
turbo4_timed_10000,13,2,1,2,74,10,8,369.43,369.43,5rk1/5pp1/3B4/3pP1Kp/1p4q1/1P2P3/P1PR1P1P/8 w - - 2 38
turbo4_timed_10000,14,1,2,1,70,10,2,349.48,349.38,7r/p3nkp1/4p3/3p3p/5P2/8/1q6/2r2K2 w - - 3 36
turbo4_timed_10000,15,2,1,2,64,8,11,319.53,319.48,2r2rk1/p4ppp/Kq2b3/1p5B/2P5/3Pn1PP/P7/R7 w - - 5 33
turbo4_timed_10000,16,1,2,1,56,13,7,279.57,279.61,rnb2rk1/pp5p/3Rp1p1/8/1P6/2p2p2/P1R2PqP/6K1 w - - 0 29
turbo4_timed_10000,17,1,1,2,59,13,3,299.56,289.50,2k1R3/Q7/8/8/1p3P1p/1P6/P1PP1PPP/RN1K4 b - - 2 30
turbo4_timed_10000,18,2,2,1,77,9,6,379.48,389.38,1r5r/6pp/1p3p2/3Q4/1pR2kq1/3R4/5PP1/6K1 b - - 5 39
turbo4_timed_10000,19,2,1,2,92,8,4,459.34,459.23,4k3/5R2/p1P4K/6r1/1QP4q/7P/P2P4/8 w - - 1 47
turbo4_timed_10000,20,1,2,1,60,11,7,299.57,299.50,r5k1/pp2B2p/2p2np1/2Pp4/8/Pb6/1P4RP/1K2q3 w - - 4 31
turbo4_timed_10000,21,1,1,2,75,13,6,379.45,369.43,k2R4/pr6/5pP1/2p5/1Bp1Q3/P3PN2/1PP1K1PP/R7 b - - 4 38
turbo4_timed_10000,22,1,2,1,112,6,2,559.21,559.11,7k/4P1p1/8/5p2/8/7p/4r3/2r4K w - - 3 57
turbo4_timed_10000,23,1,1,2,75,9,3,379.45,369.40,8/1Q6/3k4/p5N1/2p1NK2/1P6/P1PP4/R7 b - - 1 38
