tag,game_id,winner,white,black,half_turns,engine1_pieces,engine2_pieces,engine1_time,engine2_time,end_state
turbo5_timed_10000,1,2,1,2,76,5,8,366.64,376.56,1n2kr2/3b4/3p1p2/5K2/4PN2/5r2/6qP/7R w - - 0 39
turbo5_timed_10000,2,2,2,1,123,4,4,604.46,614.38,8/3Q4/1kR5/2p5/Kp4r1/8/1B6/8 b - - 0 62
turbo5_timed_10000,3,1,1,2,53,11,7,257.62,257.66,2BRk2r/5p2/8/1pp1p1Q1/4P3/P1q1P3/2P3PP/5RK1 b k - 1 27
turbo5_timed_10000,4,2,2,1,67,6,10,326.97,336.92,7r/1p3Qk1/3P3p/p5p1/1P1P4/6P1/P5BP/5RK1 b - - 2 34
turbo5_timed_10000,5,1,1,2,65,12,6,317.09,317.08,5R1k/8/p3N1p1/4P1N1/7p/2p2b2/PP2BPPP/5RK1 b - - 1 33
turbo5_timed_10000,6,2,2,1,137,3,5,663.99,683.77,8/6pp/8/8/5P2/1Q2Q3/3k2PK/8 b - - 8 69
turbo5_timed_10000,7,2,1,2,112,5,6,545.01,554.95,5nk1/5p2/3Q2p1/6Pq/5P1K/1N2r3/8/8 w - - 10 57
turbo5_timed_10000,8,2,2,1,125,4,5,604.41,624.29,k1r5/Q7/K7/p2P3p/P7/7P/8/8 b - - 2 63
turbo5_timed_10000,9,2,1,2,68,6,9,326.99,337.00,6k1/5ppp/p2q1n2/1p6/8/7P/PP4P1/3N1r1K w - - 0 35
turbo5_timed_10000,10,1,2,1,66,10,3,317.09,326.98,2r1k1r1/pp5p/2p1p2n/R7/8/8/5P2/3q1K2 w - - 4 34
turbo5_timed_10000,11,1,1,2,49,13,7,237.85,237.78,r6k/2q2BbQ/8/r1P1p1N1/1P5p/4P3/P4PPP/R3K2R b KQ - 2 25
turbo5_timed_10000,12,2,2,1,81,10,7,396.39,406.22,n3q1rr/1p1N1p2/p6p/3p3k/3P4/8/5P1Q/R5RK b - - 3 41
turbo5_timed_10000,13,2,1,2,174,2,2,852.13,862.04,K7/Pqk5/8/8/8/8/8/8 w - - 1 88
turbo5_timed_10000,14,1,2,1,90,10,1,435.99,445.87,7k/p4p1p/1p6/4pb2/8/7p/6r1/3r1K2 w - - 0 46
turbo5_timed_10000,15,1,1,2,59,11,7,287.34,287.30,5k2/1pNN3R/p4p2/2p1pP1p/2B5/8/PPP3PP/1K6 b - - 1 30
turbo5_timed_10000,16,2,2,1,41,13,10,198.14,208.03,rn1q1bnr/p2k4/2p3Q1/1p4p1/5BBp/6Pp/PP3P1P/4R1K1 b - - 5 21
turbo5_timed_10000,17,1,1,2,69,9,5,326.99,336.88,6kR/8/5BPp/8/p1p5/2P2P2/P1P1r2P/2K5 b - - 3 35
turbo5_timed_10000,18,1,2,1,64,12,5,307.19,317.10,rn4k1/pp3pp1/2p3q1/P1b4K/4r3/7b/BPP5/8 w - - 0 33
turbo5_timed_10000,19,1,1,2,53,11,7,257.61,257.63,rn1k3Q/1pp5/4P3/1p3N2/5p2/2P3P1/PP1N3P/4K2R b - - 3 27
turbo5_timed_10000,20,2,2,1,75,5,12,356.76,376.54,7r/1p5p/1B6/p3P1Qk/4P3/P4N2/1PP2KPP/R7 b - - 0 38
turbo5_timed_10000,21,1,1,2,111,6,1,535.14,544.95,2Q5/8/3k4/2B3R1/8/5P2/5K1P/8 b - - 4 56
turbo5_timed_10000,22,2,2,1,57,8,12,267.52,287.31,rk1R1n1r/2R4p/p7/2pp4/3P1B2/N1P5/P1P2PPP/6K1 b - - 0 29
turbo5_timed_10000,23,2,1,2,52,9,10,237.81,257.60,r4rk1/1p3Np1/1n6/4p3/1P2b3/p1q5/P4PPP/1K4RR w - - 0 27
turbo5_timed_10000,24,2,2,1,67,9,7,317.12,336.95,r2kR3/q4B2/p1Q2Ppp/1pn5/8/2P5/6Pb/7K b - - 1 34
turbo5_timed_10000,25,1,1,2,85,9,3,416.14,416.20,8/8/8/p1PB4/p2P4/2Pk3P/3RNP2/4K3 b - - 1 43
turbo5_timed_10000,26,1,2,1,72,11,5,346.79,356.74,1r4k1/2p5/p3p1p1/3p3p/4p3/P2b2P1/2K5/4qN1R w - - 4 37
