tag,game_id,winner,white,black,half_turns,engine1_pieces,engine2_pieces,engine1_time,engine2_time,end_state
turbo4,1,2,1,2,98,11,8,466.09,485.64,6k1/p2Q2p1/P5b1/1P3p2/8/1p4qP/1B1P2P1/RN2r1KR w - - 15 50
turbo4,2,2,2,1,71,10,8,337.09,356.80,5rk1/p2p1pQp/5Bp1/5P2/1p6/qn5P/2P2P1K/7R b - - 1 36
turbo4,3,1,1,2,97,7,4,475.90,475.72,5B1Q/8/2PP1p2/1p3K1k/p4P2/P7/8/8 b - - 2 49
turbo4,4,1,2,1,90,9,2,436.30,445.99,2n3k1/p5pp/2p5/3b4/8/6p1/8/4B1Kr w - - 2 46
turbo4,5,2,1,2,32,13,12,138.80,158.57,Pn2r1k1/p4ppp/7q/2b5/Q2p4/2Pb4/PP1K1nPP/RNB3NR w - - 2 17
turbo4,6,2,2,1,45,10,9,208.21,227.92,1rb2k2/p2p1Q2/n1pNpP1r/8/2pP4/6RP/2P2P2/4K3 b - - 0 23
turbo4,7,1,1,2,71,11,5,347.02,346.90,1R4k1/2Q1R3/6p1/2P2p1p/3b4/P1B2N2/5PPP/7K b - - 2 36
turbo4,8,1,2,1,76,8,4,366.88,376.70,4k3/p7/4pn2/P3p3/4P3/5P2/2q4r/n1K5 w - - 0 39
turbo4,9,1,1,2,113,6,1,555.25,555.08,3R1k2/8/5K2/8/5P2/2P1P2P/8/8 b - - 6 57
turbo4,10,1,2,1,74,9,3,366.82,366.75,6k1/6pp/1pp2p2/8/3n4/1r4PR/8/2K1q3 w - - 0 38
turbo4,11,1,1,2,75,11,5,366.85,366.73,8/8/2P4p/3N1Q1k/p2P3p/Pr6/5PPP/RR4K1 b - - 3 38
turbo4,12,2,2,1,87,11,9,426.36,436.08,r1b1n2Q/3p1k2/2pPp3/p1q3pB/2p5/2B3P1/4NP2/3R2K1 b - - 4 44
turbo4,13,1,1,2,147,7,2,723.86,723.42,7k/5K2/8/7R/4B3/1P4P1/P6P/6b1 b - - 10 74
turbo4,14,1,2,1,80,12,5,396.62,396.46,5knr/4b1p1/1pBp4/1Pp4p/2P4P/6K1/3r4/4qq2 w - - 0 41
turbo4,15,1,1,2,65,13,8,307.35,317.18,1q4kQ/p1r1bp2/8/2P3p1/BP2pP2/2P1P2R/P6P/R1B1K3 b Q - 5 33
turbo4,16,1,2,1,74,12,4,347.06,366.74,r5k1/pp4b1/n6p/2p3p1/8/4pR2/3nP2R/2q1K3 w - - 3 38
turbo4,17,2,1,2,166,3,3,813.19,822.58,8/8/5r2/P1K2q2/1P6/2k5/8/8 w - - 4 84
turbo4,18,1,2,1,68,11,6,337.09,337.04,1nb1k3/1p5p/7r/p2p2r1/P4p2/3NbP2/4P2K/4R3 w - - 1 35
turbo4,19,2,1,2,56,6,9,267.73,277.57,4r2k/5p2/6p1/7p/1p1b4/4P3/2q2PPP/r3K2R w - - 2 29
turbo4,20,2,2,1,157,5,3,763.72,783.03,7R/6R1/p4K1k/7p/p7/8/8/3q4 b - - 1 79
turbo4,21,2,1,2,60,10,11,287.53,297.32,r2nk3/2pp1p2/4p3/1Q3p2/1PNP4/P1P1Pbb1/6q1/R1RK4 w - - 4 31
turbo4,22,2,2,1,73,6,9,356.95,366.73,6nr/7p/7k/6Q1/p3NB2/P4p1B/4PP1P/4K3 b - - 0 37
turbo4,23,1,1,2,159,5,1,783.44,782.94,5k1R/3R4/8/8/K2P4/8/P7/8 b - - 4 80
turbo4,24,2,2,1,37,13,13,168.53,188.33,rn2R1kr/p2p1p1p/b1pP2pB/5q2/1p6/1B3N2/PPP2PPP/R5K1 b - - 2 19
turbo4,25,1,1,2,81,12,4,396.67,396.50,1R1k4/Q7/2p5/2P2P2/2p4p/2B1P3/P1RN2PP/6K1 b - - 2 41
turbo4,26,1,2,1,94,11,1,446.22,465.85,2k5/pp2pp1p/b4np1/8/8/8/4r3/3q2K1 w - - 0 48
turbo4,27,1,1,2,105,6,2,515.73,515.45,7k/7R/6K1/3B4/8/PpP4P/8/8 b - - 1 53
turbo4,28,2,2,1,55,9,8,257.80,277.53,2Q4r/R3k1p1/2pN1pq1/6Pp/4pB2/7P/1b5K/5R2 b - - 2 28
turbo4,29,2,1,2,70,8,7,337.12,346.90,8/6bk/7p/2r3pP/Q7/P7/RP1P4/2BKr2q w - - 0 36
turbo4,30,1,2,1,68,10,6,327.21,337.01,3r2k1/1p3pPn/2p4p/4p3/2P1P1PP/8/5q2/r6K w - - 3 35
turbo4,31,1,1,2,69,14,5,337.13,337.00,8/6Qk/8/3pBpp1/1N3P1p/4P3/PPP1N1PP/R4RK1 b - - 1 35
turbo4,32,1,2,1,96,10,4,466.11,475.79,3b2nr/3p1k2/4p3/4P2p/3q1K2/1p3PP1/1n6/8 w - - 2 49
turbo4,33,1,1,2,69,11,4,337.12,337.00,6R1/1p2pk2/6Q1/5r2/P7/5P2/1PPP2P1/R1BK4 b - - 4 35
turbo4,34,1,2,1,60,12,4,297.48,297.32,rn5r/pp4pp/7P/2p2kn1/Pb6/4PK2/7q/8 w - - 0 31
turbo4,35,2,1,2,98,7,7,476.01,485.64,8/4b2k/p5p1/P7/2p2PKp/7P/4q1P1/2RR4 w - - 4 50
turbo4,36,1,2,1,64,10,2,297.46,317.18,2k5/p3pp1p/p1p5/8/4b3/8/1P5r/2K2r2 w - - 2 33
turbo4,37,1,1,2,71,12,5,347.02,346.88,k3R3/N5R1/5B1r/3N3p/1pp4P/3P4/P1P2P1P/5K2 b - - 5 36
