version,game_id,winner,white,black,half_turns,engine1_pieces,engine2_pieces,engine1_time,engine2_time,end_state
1,1,2,1,2,100,1,7,2.14,101.01,8/2p1k3/2p5/2q2K1b/p5r1/8/8/8 w - - 2 51
1,2,1,2,1,103,5,6,2.48,104.91,5B2/6Qk/6p1/4p1p1/4P3/p3K3/2RN4/8 b - - 0 52
1,3,2,1,2,72,4,8,1.77,72.43,5rk1/5p1p/8/1p6/1p6/5rP1/2P3KP/5q2 w - - 4 37
1,4,1,2,1,43,8,11,0.80,44.26,5b1r/p4ppp/2Q1pk2/6Q1/8/7P/PP3PP1/1RB1K2R b K - 1 22
1,5,2,1,2,80,6,7,5.17,80.56,8/5k2/8/ppbP3p/6nP/1P3qP1/8/4R2K w - - 2 41
