tag,game_id,winner,white,black,half_turns,engine1_pieces,engine2_pieces,engine1_time,engine2_time,end_state
base_5_8000,1,1,1,2,129,8,2,492.00,512.90,4Q3/8/B2p4/4k2N/1P4P1/8/7P/3R3K b - - 4 65
base_5_8000,2,0,2,1,185,2,1,195.01,745.28,8/8/8/4k3/8/8/6q1/1K6 b - - 49 93
base_5_8000,3,2,1,2,88,4,8,204.26,352.65,7k/1p3p2/4p2P/3pP2P/1p6/8/4q3/r5K1 w - - 2 45
base_5_8000,4,2,2,1,75,8,7,183.27,304.47,2Q1k1nr/p2R2pp/4pp2/8/1P6/2P4P/5PK1/8 b - - 5 38
base_5_8000,5,1,1,2,151,5,2,234.28,601.00,6kR/8/6P1/8/3BK3/5P2/r7/8 b - - 2 76
base_5_8000,6,1,2,1,52,13,6,87.23,208.37,2b1k1nr/1pp2pp1/3p4/4p3/4Pn1p/r4BK1/5P1P/4R3 w k - 0 27
base_5_8000,7,2,1,2,60,11,11,154.82,240.34,r1b4k/1pp3p1/p7/5p2/1n6/NB1P1Pb1/PPP2q2/R1B1RK2 w - - 0 31
base_5_8000,8,1,2,1,56,13,3,219.30,224.38,5rk1/p1p2ppp/3ppn2/8/5P1P/8/6r1/5bqK w - - 2 29
base_5_8000,9,2,1,2,32,11,13,110.55,128.23,r3r1k1/p1pp1pp1/1p2p3/2b5/6P1/N4b2/PPPP1P2/R1B2RKq w - - 2 17
base_5_8000,10,1,2,1,110,8,1,217.36,440.74,3k4/p2pn3/n7/8/5p2/8/2r5/4r2K w - - 4 56
base_5_8000,11,1,1,2,45,14,5,575.93,176.31,k2N3r/pQ6/7p/4p3/8/8/PPPB1PPP/R3KBNR b KQ - 0 23
base_5_8000,12,2,2,1,57,10,9,125.07,232.40,1R4nr/kQ1p3p/p4pp1/1pNP4/8/5Bb1/P5PP/5K2 b - - 0 29
base_5_8000,13,2,1,2,102,8,9,461.15,408.62,1kr5/1b3p2/1p6/7p/7P/P3nP2/1P1RNqr1/3K3R w - - 4 52
